onset	duration	task_event	rt_in_ms	task_novelty	logic_rule	sensory_rule	motor_rule	performance	task_id	motor_response	stimulus1_color	stimulus1_orientation	stimulus1_pitch	stimulus1_continuity	stimulus2_color	stimulus2_orientation	stimulus2_pitch	stimulus2_continuity
0.0	3.9250000000000003	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.9250000000000003	3.9250000000000003	encoding	n/a	Novel	NEITHER*	VERTICAL	RIGHT*MIDDLE	n/a	63.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.8500000000000005	2.355	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.205	2.355	trial	1778.0	Novel	NEITHER*	VERTICAL	RIGHT*MIDDLE	Correct	63.0	right_index_finger	red	vertical	low	constant	blue	horizontal	low	alarm
12.56	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.13	2.355	trial	1523.0	Novel	NEITHER*	VERTICAL	RIGHT*MIDDLE	Correct	63.0	right_middle_finger	red	horizontal	high	alarm	red	horizontal	high	constant
16.485	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.055	2.355	trial	1525.0	Novel	NEITHER*	VERTICAL	RIGHT*MIDDLE	Correct	63.0	right_middle_finger	blue	horizontal	low	alarm	red	horizontal	low	alarm
20.41	11.775	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.185	3.9250000000000003	encoding	n/a	Novel	**BOTH**	HI*PITCH	RIGHT*INDEX*	n/a	4.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
36.11	3.14	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
39.25	2.355	trial	1751.0	Novel	**BOTH**	HI*PITCH	RIGHT*INDEX*	Correct	4.0	right_middle_finger	blue	horizontal	low	alarm	red	vertical	low	alarm
41.605	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
43.175	2.355	trial	1710.0	Novel	**BOTH**	HI*PITCH	RIGHT*INDEX*	Correct	4.0	right_middle_finger	red	vertical	high	constant	red	vertical	low	alarm
45.529999999999994	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
47.099999999999994	2.355	trial	1806.0	Novel	**BOTH**	HI*PITCH	RIGHT*INDEX*	Wrong	4.0	right_middle_finger	red	horizontal	high	alarm	blue	vertical	high	constant
49.45499999999999	10.99	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
60.44499999999999	3.9250000000000003	encoding	n/a	Novel	NEITHER*	CONSTANT	RIGHT*INDEX*	n/a	56.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
64.36999999999999	6.28	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
70.64999999999999	2.355	trial	2673.0	Novel	NEITHER*	CONSTANT	RIGHT*INDEX*	Wrong	56.0	right_middle_finger	blue	vertical	low	alarm	red	horizontal	high	alarm
73.005	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
74.57499999999999	2.355	trial	1956.0	Novel	NEITHER*	CONSTANT	RIGHT*INDEX*	Correct	56.0	right_middle_finger	red	horizontal	low	alarm	blue	horizontal	low	constant
76.92999999999999	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
78.49999999999999	2.355	trial	1429.0	Novel	NEITHER*	CONSTANT	RIGHT*INDEX*	Correct	56.0	right_middle_finger	blue	vertical	high	constant	blue	horizontal	low	constant
80.85499999999999	7.85	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
88.70499999999998	3.9250000000000003	encoding	n/a	Novel	NOT*BOTH	VERTICAL	LEFT*MIDDLE*	n/a	29.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
92.62999999999998	5.495	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
98.12499999999999	2.355	trial	1951.0	Novel	NOT*BOTH	VERTICAL	LEFT*MIDDLE*	Correct	29.0	left_index_finger	red	vertical	low	constant	blue	vertical	high	constant
100.47999999999999	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
102.04999999999998	2.355	trial	1585.0	Novel	NOT*BOTH	VERTICAL	LEFT*MIDDLE*	Correct	29.0	left_index_finger	red	vertical	low	constant	red	vertical	high	constant
104.40499999999999	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
105.97499999999998	2.355	trial	1531.0	Novel	NOT*BOTH	VERTICAL	LEFT*MIDDLE*	Correct	29.0	left_index_finger	red	vertical	high	constant	red	vertical	high	alarm
108.32999999999998	8.635	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
116.96499999999999	3.9250000000000003	encoding	n/a	Novel	**BOTH**	VERTICAL	LEFT*MIDDLE*	n/a	13.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
120.88999999999999	3.925	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
124.81499999999998	2.355	trial	1732.0	Novel	**BOTH**	VERTICAL	LEFT*MIDDLE*	Correct	13.0	left_middle_finger	blue	vertical	high	alarm	blue	vertical	high	constant
127.16999999999999	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
128.73999999999998	2.355	trial	1616.0	Novel	**BOTH**	VERTICAL	LEFT*MIDDLE*	Correct	13.0	left_middle_finger	blue	vertical	low	alarm	blue	vertical	low	alarm
131.09499999999997	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
132.66499999999996	2.355	trial	1753.0	Novel	**BOTH**	VERTICAL	LEFT*MIDDLE*	Correct	13.0	left_index_finger	red	vertical	high	alarm	blue	horizontal	high	constant
135.01999999999995	10.205	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
145.22499999999997	3.9250000000000003	encoding	n/a	Novel	**BOTH**	HI*PITCH	LEFT*MIDDLE*	n/a	1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
149.14999999999998	6.28	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
155.42999999999998	2.355	trial	1798.0	Novel	**BOTH**	HI*PITCH	LEFT*MIDDLE*	Correct	1.0	left_middle_finger	blue	vertical	high	constant	blue	vertical	high	alarm
157.78499999999997	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
159.35499999999996	2.355	trial	2091.0	Novel	**BOTH**	HI*PITCH	LEFT*MIDDLE*	Correct	1.0	left_index_finger	blue	horizontal	low	constant	red	horizontal	high	alarm
161.70999999999995	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
